num_genres,count,proportion,split
1,1296,0.1648854961832061,train
2,2465,0.31361323155216286,train
3,2535,0.32251908396946566,train
4,1135,0.14440203562340967,train
5,337,0.04287531806615776,train
6,78,0.009923664122137405,train
7,12,0.0015267175572519084,train
8,2,0.0002544529262086514,train
1,158,0.1607324516785351,val
2,309,0.3143438453713123,val
3,339,0.34486266531027465,val
4,124,0.12614445574771108,val
5,39,0.03967446592065107,val
6,11,0.011190233977619531,val
7,3,0.003051881993896236,val
1,160,0.16276703967446593,test
2,287,0.29196337741607326,test
3,339,0.34486266531027465,test
4,149,0.1515768056968464,test
5,40,0.04069175991861648,test
6,7,0.007121057985757884,test
8,1,0.001017293997965412,test
